state,county,employment,demographics,deaths_by_opioids,dispensary_count,year
AZ,['Maricopa County'],,,457,,2014
AZ,['Coconino County'],,,427,,2015
AZ,['Maricopa County'],,,396,,2012
AZ,['Maricopa County'],,,250,,2015
AZ,['Maricopa County'],,,217,,2012
AZ,['Maricopa County'],,,61,,2013
AZ,['Maricopa County'],,,41,,2015
AZ,['Maricopa County'],,,316,,2013
AZ,['Yavapai County'],,,172,,2015
AZ,['Maricopa County'],,,53,,2014
AZ,['Pima County'],,,394,,2013
AZ,['Maricopa County'],,,442,,2014
AZ,['Maricopa County'],,,209,,2011
AZ,['Maricopa County'],,,378,,2015
AZ,['Pinal County'],,,355,,2015
AZ,['Yuma County'],,,375,,2012
AZ,['Maricopa County'],,,441,,2015
AZ,['Maricopa County'],,,186,,2013
AZ,['Maricopa County'],,,363,,2013
AZ,['Mohave County'],,,72,,2014
AZ,['Maricopa County'],,,272,,2015
AZ,['Maricopa County'],,,229,,2014
AZ,['Maricopa County'],,,289,,2014
AZ,['Maricopa County'],,,369,,2014
AZ,['Pima County'],,,176,,2011
AZ,['Maricopa County'],,,426,,2014
AZ,['Maricopa County'],,,276,,2015
AZ,['Maricopa County'],,,463,,2014
AZ,['Maricopa County'],,,461,,2015
AZ,['Pinal County'],,,462,,2015
AZ,['Maricopa County'],,,29,,2014
AZ,['Maricopa County'],,,184,,2013
AZ,['Maricopa County'],,,84,,2012
AZ,['Maricopa County'],,,250,,2012
AZ,['Pima County'],,,96,,2015
AZ,['Coconino County'],,,342,,2014
AZ,['Yavapai County'],,,59,,2014
AZ,['Maricopa County'],,,398,,2013
AZ,['Maricopa County'],,,95,,2014
AZ,['Maricopa County'],,,115,,2011
AZ,['Maricopa County'],,,66,,2015
AZ,['Maricopa County'],,,405,,2011
AZ,['Maricopa County'],,,75,,2013
CA,['Los Angeles County'],,,160,,2013
CA,['San Joaquin County'],,,139,,2014
CA,['Riverside County'],,,83,,2012
CA,['Orange County'],,,335,,2014
CA,['Fresno County'],,,258,,2015
CA,['Orange County'],,,381,,2015
CA,[None],,,227,,2014
CA,[None],,,61,,2012
CA,['Alameda County'],,,146,,2015
CA,['Los Angeles County'],,,261,,2011
CA,['Los Angeles County'],,,360,,2014
CA,[None],,,135,,2014
CA,['Los Angeles County'],,,106,,2012
CA,['San Bernardino County'],,,228,,2013
CA,['San Francisco County'],,,426,,2015
CA,['Ventura County'],,,246,,2015
CA,['Alameda County'],,,242,,2014
CA,['Sonoma County'],,,221,,2014
CA,['Santa Cruz County'],,,221,,2011
CA,['Tulare County'],,,133,,2014
CA,['San Diego County'],,,435,,2014
CA,[None],,,37,,2013
CA,['Riverside County'],,,44,,2011
CA,['Riverside County'],,,268,,2012
CA,['Ventura County'],,,444,,2011
CA,['Los Angeles County'],,,250,,2013
CA,['Orange County'],,,97,,2012
CA,['San Mateo County'],,,454,,2011
