,NPPES Provider ZIP Code,NPPES Provider State,total_claims,opioid_claims,extended_release_opioid_claims,zipcode,county
0,99204,WA,930729,87660,4547,99204,['Spokane County']
1,48183,MI,525934,50887,1275,48183,['Wayne County']
2,96819,HI,311140,14210,596,96819,['Honolulu County']
3,49525,MI,607827,53780,1412,49525,['Kent County']
4,68127,NE,16476,1354,91,68127,['Douglas County']
5,62220,IL,318201,20314,100,62220,['St. Clair County']
6,95116,CA,840108,25146,103,95116,['Santa Clara County']
7,55431,MN,128810,11672,255,55431,['Hennepin County']
8,55414,MN,15652,969,0,55414,['Hennepin County']
9,62901,IL,399091,26915,384,62901,['Jackson County']
10,80045,CO,490332,52527,2839,80045,['Adams County']
11,87106,NM,341544,42983,1375,87106,['Bernalillo County']
12,60189,IL,121501,4988,70,60189,['DuPage County']
13,48108,MI,277997,19404,796,48108,['Washtenaw County']
14,85381,AZ,835616,61900,2429,85381,['Maricopa County']
15,75235,TX,305623,28651,220,75235,['Dallas County']
16,58103,ND,773876,60973,2103,58103,['Cass County']
17,55905,MN,1076337,76659,1180,55905,[None]
18,17101,PA,55218,6260,15,17101,['Dauphin County']
19,85022,AZ,81581,9146,527,85022,['Maricopa County']
20,58102,ND,279553,15577,172,58102,['Cass County']
21,4105,ME,93543,7751,118,04105,['Cumberland County']
22,48197,MI,752442,72518,1918,48197,['Washtenaw County']
23,23434,VA,386541,20098,350,23434,['Suffolk city']
24,14222,NY,48025,8629,413,14222,['Erie County']
25,75204,TX,753698,39890,1183,75204,['Dallas County']
26,30004,GA,52822,3231,161,30004,['Fulton County']
27,42431,KY,621775,44130,645,42431,['Hopkins County']
28,57104,SD,60933,13470,108,57104,['Minnehaha County']
29,64111,MO,714156,46799,1096,64111,['Jackson County']
30,53916,WI,266488,16160,516,53916,['Dodge County']
31,87114,NM,122619,11530,306,87114,['Bernalillo County']
32,55454,MN,226120,19867,494,55454,['Hennepin County']
33,97140,OR,63226,4994,98,97140,['Washington County']
34,57702,SD,128708,12075,292,57702,['Pennington County']
35,97015,OR,675810,57582,3330,97015,['Clackamas County']
36,58201,ND,352454,24231,757,58201,['Grand Forks County']
37,52803,IA,70991,7295,248,52803,['Scott County']
38,52747,IA,25280,651,0,52747,['Cedar County']
39,10304,NY,307635,18568,1189,10304,['Richmond County']
40,10305,NY,216788,13168,440,10305,['Richmond County']
41,84119,UT,166212,13801,411,84119,['Salt Lake County']
42,63131,MO,848648,68691,3543,63131,['St. Louis County']
43,84403,UT,336805,33286,554,84403,['Weber County']
44,94553,CA,592713,52215,3013,94553,['Contra Costa County']
45,92506,CA,894273,57237,1403,92506,['Riverside County']
46,24112,VA,944779,69251,1332,24112,['Henry County']
47,71105,LA,582400,65562,3880,71105,['Caddo Parish']
48,28210,NC,597597,46360,1950,28210,['Mecklenburg County']
49,2860,RI,767192,44441,1736,02860,['Providence County']
50,31405,GA,878244,96501,3782,31405,['Chatham County']
51,77573,TX,149607,10572,260,77573,['Galveston County']
52,73801,OK,175561,11265,324,73801,['Woodward County']
53,24019,VA,170577,10014,278,24019,['Roanoke County']
54,35249,AL,376204,48418,940,35249,[None]
55,11021,NY,656905,26866,762,11021,['Nassau County']
56,37040,TN,360578,36705,2993,37040,['Montgomery County']
57,47710,IN,622066,51555,788,47710,['Vanderburgh County']
58,21921,MD,273470,14870,424,21921,['Cecil County']
59,37205,TN,857128,52678,1370,37205,['Davidson County']
60,73096,OK,124437,7032,126,73096,['Custer County']
61,42728,KY,279961,17533,77,42728,['Adair County']
62,48420,MI,72971,4967,42,48420,['Genesee County']
63,2906,RI,308401,17442,452,02906,['Providence County']
64,35801,AL,1583514,204810,7768,35801,['Madison County']
