State,year,Annual Average Pay,County,dispensaries_cnt,Unemployment Rate,Latitude,Longitude,deaths,Population,multiple_cod,opioid_related
CA,2012,54022,San Diego County,11,9.1,33.023604,-116.776117,52,3177063,Heroin,TRUE
OH,2015,34308,Brown County,,6.2,38.931377,-83.866772,12,43839,Heroin,TRUE
IL,2015,45565,Will County,2,6.2,41.448474,-87.978456,10,687263,Cocaine,FALSE
CO,2012,44304,Adams County,,9.4,39.874325,-104.331872,10,459598,Heroin,TRUE
CO,2012,60957,Denver County,4,,39.76185,-104.881105,19,634265,Heroin,TRUE
CO,2012,44597,El Paso County,2,8.9,38.827383,-104.527472,14,644964,Heroin,TRUE
WV,2012,38513,Cabell County,,6.5,38.419578,-82.243397,14,96974,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
CA,2012,39105,Riverside County,14,11.6,33.729828,-116.002239,37,2268783,Heroin,TRUE
CA,2012,53952,Sacramento County,5,10.5,38.450011,-121.340441,14,1450121,Heroin,TRUE
RI,2012,43156,Kent County,,10,41.668949,-71.577634,10,164843,Cocaine,FALSE
NM,2013,42560,Bernalillo County,,6.5,35.054002,-106.669064,12,674221,Methadone,FALSE
NY,2015,45751,Richmond County,,5.8,40.561263,-74.1399,13,474558,Cocaine,FALSE
OR,2012,49685,Multnomah County,7,7.6,45.547693,-122.417173,20,759256,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
DC,2012,,District of Columbia,1,9,38.904103,-77.017229,25,632323,Heroin,TRUE
FL,2012,47011,Miami-Dade County,1,8.3,25.61058,-80.499137,21,2591035,Heroin,TRUE
FL,2012,42857,Orange County,,8.2,28.514435,-81.323295,19,1202234,Heroin,TRUE
IL,2012,57987,Cook County,6,9.6,41.894294,-87.645455,25,5231351,Heroin,TRUE
AL,2012,49542,Jefferson County,,7.4,33.553444,-86.896536,24,660009,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
KY,2012,37185,Campbell County,,6.9,38.946981,-84.379583,15,90908,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
MI,2012,53454,Wayne County,2,11.7,42.284664,-83.261953,24,1792365,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
WV,2012,38730,Berkeley County,,6.7,39.448054,-78.037776,12,107098,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
WV,2012,54381,Boone County,,10.4,38.022814,-81.713539,10,24478,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
WV,2012,42532,Kanawha County,,6.6,38.328068,-81.523516,26,192179,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
WV,2012,33837,Mercer County,,8.4,37.403448,-81.106456,14,62523,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
WV,2012,39602,Raleigh County,,7.3,37.76247,-81.264671,24,79021,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
WV,2012,44040,Wyoming County,,9.2,37.603717,-81.548884,14,23273,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
OR,2012,49685,Multnomah County,7,7.6,45.547693,-122.417173,14,759256,"Mental and behavioural disorders due to use of opioids, dependence syndrome",TRUE
AL,2012,49542,Jefferson County,,7.4,33.553444,-86.896536,11,660009,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
CA,2012,55506,Los Angeles County,38,10.9,34.196398,-118.261862,44,9962789,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
CA,2012,54022,San Diego County,11,9.1,33.023604,-116.776117,12,3177063,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
CT,2012,83318,Fairfield County,3,7.8,41.227413,-73.367061,11,933835,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
CT,2012,61214,Hartford County,2,8.7,41.806053,-72.732916,19,897259,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
CT,2012,51334,New Haven County,,9.1,41.349717,-72.900204,10,862813,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
CT,2012,49209,New London County,,8.6,41.472651,-72.108633,11,274170,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
DE,2012,58730,New Castle County,3,7,39.575915,-75.644132,24,546076,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
GA,2012,65698,Fulton County,,9.1,33.790034,-84.468182,10,977773,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
IL,2012,57987,Cook County,6,9.6,41.894294,-87.645455,29,5231351,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
IL,2012,63959,Lake County,,8.1,42.326435,-87.436033,30,702120,Heroin,TRUE
LA,2012,44835,Jefferson Parish,,6.7,29.5033,-90.036231,31,433676,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
MA,2012,57697,Norfolk County,4,5.8,42.17175,-71.181115,11,681845,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
MI,2012,53454,Wayne County,2,11.7,42.284664,-83.261953,32,1792365,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
MN,2012,54339,Ramsey County,,5.7,45.01525,-93.100141,12,520152,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
MO,2012,32692,Jefferson County,,7.2,38.257599,-90.543542,23,220209,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
MO,2012,38941,St. Charles County,,5.6,38.781102,-90.674915,17,368666,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
MO,2012,52404,St. Louis County,,6.5,38.640702,-90.445954,59,1000438,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
MO,2012,,St. Louis city,,8.5,38.635699,-90.244582,44,318172,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
OH,2012,44282,Summit County,1,7.5,41.121851,-81.534936,18,540811,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
OR,2012,49685,Multnomah County,7,7.6,45.547693,-122.417173,12,759256,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
PA,2012,42254,York County,,7.4,39.921751,-76.728889,11,437846,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
SC,2012,42317,Greenville County,,7.4,34.892645,-82.372077,13,467605,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
UT,2012,46442,Salt Lake County,,5.3,40.667883,-111.92424,11,1063842,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
WA,2012,44446,Clark County,1,9.4,45.771674,-122.485903,10,438287,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
WA,2012,41073,Spokane County,,9.1,47.620375,-117.403371,17,475735,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
WI,2012,48161,Milwaukee County,,8.6,43.017669,-87.481489,14,955205,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
WI,2012,48588,Waukesha County,,5.8,43.019308,-88.306707,24,392292,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",TRUE
AL,2012,49542,Jefferson County,,7.4,33.553444,-86.896536,56,660009,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
AZ,2012,48112,Maricopa County,32,7.3,33.346541,-112.495534,47,3942169,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
AZ,2012,34217,Mohave County,1,11,35.717705,-113.749689,22,203334,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
AZ,2012,41919,Pima County,3,7.4,32.128523,-111.783027,11,992394,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,36548,Butte County,1,12.2,39.665959,-121.601919,15,221539,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
