county,State,total_claims,opioid_claims,extended_release_opioid_claims,year,Annual Average Pay,dispensaries_cnt,unemployment,opioid_related,Population,deaths
San Diego County,CA,15974904,1017536,38307,2012,54022,11,9.1,TRUE,3177063,240
Brown County,OH,319629,14526,259,2015,34308,,6.2,TRUE,43839,12
Adams County,CO,1793732,165947,8967,2012,44304,,9.4,TRUE,459598,52
Denver County,CO,2940173,264051,9687,2012,60957,4,,TRUE,634265,53
El Paso County,CO,2493468,238179,11862,2012,44597,2,8.9,TRUE,644964,34
Cabell County,WV,2032267,171942,5304,2012,38513,,6.5,TRUE,96974,30
Riverside County,CA,12054835,868895,29283,2012,39105,14,11.6,TRUE,2268783,87
Sacramento County,CA,9124669,760339,32945,2012,53952,5,10.5,TRUE,1450121,37
Multnomah County,OR,5557271,491044,26174,2012,49685,7,7.6,TRUE,759256,123
District of Columbia,DC,2447977,149697,2945,2012,,1,9,TRUE,632323,38
Miami-Dade County,FL,32375973,828999,14273,2012,47011,1,8.3,TRUE,2591035,70
Orange County,FL,6976219,511367,19496,2012,42857,,8.2,TRUE,1202234,84
Cook County,IL,30147006,1544375,26230,2012,57987,6,9.6,TRUE,5231351,94
Jefferson County,AL,9111863,728322,17176,2012,49542,,7.4,TRUE,660009,78
Campbell County,KY,564703,34697,683,2012,37185,,6.9,TRUE,90908,55
Wayne County,MI,13374890,1101073,24344,2012,53454,2,11.7,TRUE,1792365,185
Berkeley County,WV,526536,46928,2300,2012,38730,,6.7,TRUE,107098,36
Boone County,WV,202674,15735,103,2012,54381,,10.4,TRUE,24478,25
Kanawha County,WV,2630250,232491,4865,2012,42532,,6.6,TRUE,192179,67
Mercer County,WV,925826,66219,452,2012,33837,,8.4,TRUE,62523,41
Raleigh County,WV,1229890,85632,1396,2012,39602,,7.3,TRUE,79021,66
Wyoming County,WV,309471,26526,52,2012,44040,,9.2,TRUE,23273,33
Los Angeles County,CA,67165128,3111853,78462,2012,55506,38,10.9,TRUE,9962789,285
Fairfield County,CT,5082046,288229,9717,2012,83318,3,7.8,TRUE,933835,42
Hartford County,CT,6360690,342745,9511,2012,61214,2,8.7,TRUE,897259,52
New Haven County,CT,6016421,384978,13048,2012,51334,,9.1,TRUE,862813,26
New London County,CT,1627021,107314,2680,2012,49209,,8.6,TRUE,274170,25
New Castle County,DE,3074974,260307,13776,2012,58730,3,7,TRUE,546076,53
Fulton County,GA,6504224,501773,18403,2012,65698,,9.1,TRUE,977773,39
Lake County,IL,3053971,176334,4974,2012,63959,,8.1,TRUE,702120,43
Jefferson Parish,LA,5098164,415805,9266,2012,44835,,6.7,TRUE,433676,71
Norfolk County,MA,4137623,214199,7026,2012,57697,4,5.8,TRUE,681845,46
Ramsey County,MN,3643103,244591,8627,2012,54339,,5.7,TRUE,520152,25
Jefferson County,MO,1263815,97994,3091,2012,32692,,7.2,TRUE,220209,67
St. Charles County,MO,1862725,128670,2935,2012,38941,,5.6,TRUE,368666,39
St. Louis County,MO,11468593,749416,20465,2012,52404,,6.5,TRUE,1000438,158
St. Louis city,MO,2837824,225533,6538,2012,,,8.5,TRUE,318172,110
Summit County,OH,4886077,393170,13065,2012,44282,1,7.5,TRUE,540811,73
York County,PA,3427489,189267,7237,2012,42254,,7.4,TRUE,437846,11
Greenville County,SC,4965023,407466,11334,2012,42317,,7.4,TRUE,467605,45
Salt Lake County,UT,4434686,405092,20040,2012,46442,,5.3,TRUE,1063842,178
Clark County,WA,2399878,197129,10150,2012,44446,1,9.4,TRUE,438287,27
Spokane County,WA,3591276,326401,15070,2012,41073,,9.1,TRUE,475735,45
Milwaukee County,WI,7892929,769431,41652,2012,48161,,8.6,TRUE,955205,142
Waukesha County,WI,2832137,169477,5786,2012,48588,,5.8,TRUE,392292,43
DuPage County,IL,5175585,317133,7386,2012,57700,1,7.5,TRUE,927987,55
Pima County,AZ,6779426,541215,30559,2012,41919,3,7.4,TRUE,992394,125
Kane County,IL,2101937,119622,1733,2012,42499,1,8.9,TRUE,522487,19
Kern County,CA,4774392,342456,10461,2012,42783,3,13.1,TRUE,856158,35
Madison County,IL,2291791,157816,2568,2012,39914,,8.8,TRUE,267883,27
St. Clair County,IL,1937167,140212,3695,2012,39277,,9.6,TRUE,268858,18
Will County,IL,2495351,158441,3948,2012,42492,2,9.8,TRUE,682518,20
Orange County,CA,19521112,995284,34190,2012,55363,20,7.9,TRUE,3090132,176
Winnebago County,IL,2441206,204088,7252,2012,41372,1,10.5,TRUE,292069,24
McHenry County,IL,1189381,63806,1011,2012,41287,,9,TRUE,308145,11
San Bernardino County,CA,10923096,857763,26772,2012,41227,9,11.4,TRUE,2081313,52
Ventura County,CA,3774991,253059,8578,2012,50258,3,9.1,TRUE,835981,92
Lake County,IN,3626681,254703,4553,2012,45014,,9.1,TRUE,493618,16
Anchorage Borough,AK,,,,2012,52969,,,TRUE,298610,26
Maricopa County,AZ,22402246,1914935,99512,2012,48112,32,7.3,TRUE,3942169,191
Jefferson County,CO,3473159,285810,14892,2012,49473,2,7.4,TRUE,545358,40
Marion County,IN,7759238,702972,23291,2012,50063,,9.2,TRUE,918977,46
